year,month,passengers
1949,January,112.0
1949,February,118.0
1949,March,132.0
1949,April,129.0
1949,May,121.0
1949,June,135.0
1949,July,148.0
1949,August,148.0
1949,September,136.0
1949,October,119.0
1949,November,104.0
1949,December,118.0
1950,January,115.0
1950,February,126.0
1950,March,141.0
1950,April,135.0
1950,May,125.0
1950,June,149.0
1950,July,170.0
1950,August,170.0
1950,September,158.0
1950,October,133.0
1950,November,114.0
1950,December,140.0
1951,January,145.0
1951,February,150.0
1951,March,178.0
1951,April,163.0
1951,May,172.0
1951,June,178.0
1951,July,199.0
1951,August,199.0
1951,September,184.0
1951,October,162.0
1951,November,146.0
1951,December,166.0
1952,January,171.0
1952,February,180.0
1952,March,193.0
1952,April,181.0
1952,May,183.0
1952,June,218.0
1952,July,230.0
1952,August,242.0
1952,September,209.0
1952,October,191.0
1952,November,172.0
1952,December,194.0
1953,January,196.0
1953,February,196.0
1953,March,236.0
1953,April,235.0
1953,May,229.0
1953,June,243.0
1953,July,264.0
1953,August,272.0
1953,September,272.0
1953,October,211.0
1953,November,180.0
1953,December,201.0
1954,January,204.0
1954,February,188.0
1954,March,235.0
1954,April,227.0
1954,May,234.0
1954,June,264.0
1954,July,302.0
1954,August,293.0
1954,September,259.0
1954,October,229.0
1954,November,203.0
1954,December,229.0
1955,January,242.0
1955,February,233.0
1955,March,267.0
1955,April,269.0
1955,May,270.0
1955,June,315.0
1955,July,364.0
1955,August,347.0
1955,September,312.0
1955,October,274.0
1955,November,274.0
1955,December,278.0
1956,January,284.0
1956,February,277.0
1956,March,317.0
1956,April,313.0
1956,May,318.0
1956,June,374.0
1956,July,413.0
1956,August,405.0
1956,September,355.0
1956,October,306.0
1956,November,271.0
1956,December,306.0
1957,January,315.0
1957,February,315.0
1957,March,356.0
1957,April,348.0
1957,May,355.0
1957,June,422.0
1957,July,465.0
1957,August,467.0
1957,September,404.0
1957,October,347.0
1957,November,305.0
1957,December,336.0
1958,January,340.0
1958,February,318.0
1958,March,362.0
1958,April,348.0
1958,May,363.0
1958,June,435.0
1958,July,491.0
1958,August,505.0
1958,September,404.0
1958,October,404.0
1958,November,310.0
1958,December,337.0
1959,January,360.0
1959,February,342.0
1959,March,406.0
1959,April,396.0
1959,May,420.0
1959,June,472.0
1959,July,548.0
1959,August,559.0
1959,September,463.0
1959,October,407.0
1959,November,362.0
1959,December,405.0
1960,January,417.0
1960,February,391.0
1960,March,419.0
1960,April,461.0
1960,May,472.0
1960,June,535.0
1960,July,622.0
1960,August,606.0
1960,September,508.0
1960,October,461.0
1960,November,390.0
1960,December,432.0
